> 5m - 10m,2016-09-20,TCSERVER03,WalletHandler,117286,4.3429978112
> 10m - 15m,2016-09-20,TCSERVER03,WalletHandler,39557,1.4647610492
> 15m - 20m,2016-09-20,TCSERVER03,WalletHandler,173804,6.4358098288
> 20m - 30m,2016-09-20,TCSERVER03,WalletHandler,301762,11.1739824489
> 30m,2016-09-20,TCSERVER03,WalletHandler,1344561,49.7879156936
TOTAL,2016-09-20,TCSERVER03,WalletHandler,2700577,100
< 1m,2016-09-20,TCSERVER04,ADCBuddyhandler,2807814,25.9074338408
> 1m - 2m,2016-09-20,TCSERVER04,ADCBuddyhandler,1018715,9.3995868192
> 2m - 3m,2016-09-20,TCSERVER04,ADCBuddyhandler,759900,7.0115253274
> 3m - 5m,2016-09-20,TCSERVER04,ADCBuddyhandler,801537,7.3957059828
> 5m - 10m,2016-09-20,TCSERVER04,ADCBuddyhandler,966955,8.9220022015
> 10m - 15m,2016-09-20,TCSERVER04,ADCBuddyhandler,811919,7.4914997135
> 15m - 20m,2016-09-20,TCSERVER04,ADCBuddyhandler,609620,5.6249060009
> 20m - 30m,2016-09-20,TCSERVER04,ADCBuddyhandler,807024,7.4463340121
> 30m,2016-09-20,TCSERVER04,ADCBuddyhandler,2254386,20.8010061018
TOTAL,2016-09-20,TCSERVER04,ADCBuddyhandler,10837870,100
< 1m,2016-09-20,TCSERVER04,ADCTNThandler,3159977,45.7045575152
> 1m - 2m,2016-09-20,TCSERVER04,ADCTNThandler,1618883,23.4148321915
> 2m - 3m,2016-09-20,TCSERVER04,ADCTNThandler,932519,13.4875564821
> 3m - 5m,2016-09-20,TCSERVER04,ADCTNThandler,736280,10.6492394113
> 5m - 10m,2016-09-20,TCSERVER04,ADCTNThandler,466262,6.7438144000
> 10m - 15m,2016-09-20,TCSERVER04,ADCTNThandler,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER04,ADCTNThandler,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER04,ADCTNThandler,0,0.0000000000
> 30m,2016-09-20,TCSERVER04,ADCTNThandler,0,0.0000000000
TOTAL,2016-09-20,TCSERVER04,ADCTNThandler,6913921,100
< 1m,2016-09-20,TCSERVER04,CDRAdapter,15060925,77.3896929323
> 1m - 2m,2016-09-20,TCSERVER04,CDRAdapter,4400226,22.6103070677
> 2m - 3m,2016-09-20,TCSERVER04,CDRAdapter,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER04,CDRAdapter,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER04,CDRAdapter,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER04,CDRAdapter,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER04,CDRAdapter,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER04,CDRAdapter,0,0.0000000000
> 30m,2016-09-20,TCSERVER04,CDRAdapter,0,0.0000000000
TOTAL,2016-09-20,TCSERVER04,CDRAdapter,19461151,100
< 1m,2016-09-20,TCSERVER04,Notification,429915,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER04,Notification,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER04,Notification,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER04,Notification,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER04,Notification,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER04,Notification,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER04,Notification,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER04,Notification,0,0.0000000000
> 30m,2016-09-20,TCSERVER04,Notification,0,0.0000000000
TOTAL,2016-09-20,TCSERVER04,Notification,429915,100
< 1m,2016-09-20,TCSERVER04,ServiceEventHandler,1709360,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER04,ServiceEventHandler,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER04,ServiceEventHandler,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER04,ServiceEventHandler,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER04,ServiceEventHandler,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER04,ServiceEventHandler,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER04,ServiceEventHandler,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER04,ServiceEventHandler,0,0.0000000000
> 30m,2016-09-20,TCSERVER04,ServiceEventHandler,0,0.0000000000
TOTAL,2016-09-20,TCSERVER04,ServiceEventHandler,1709360,100
< 1m,2016-09-20,TCSERVER04,SMSGateway,259685,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER04,SMSGateway,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER04,SMSGateway,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER04,SMSGateway,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER04,SMSGateway,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER04,SMSGateway,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER04,SMSGateway,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER04,SMSGateway,0,0.0000000000
> 30m,2016-09-20,TCSERVER04,SMSGateway,0,0.0000000000
TOTAL,2016-09-20,TCSERVER04,SMSGateway,259685,100
< 1m,2016-09-20,TCSERVER04,WalletHandler,440548,16.3134447020
> 1m - 2m,2016-09-20,TCSERVER04,WalletHandler,133440,4.9412687404
> 2m - 3m,2016-09-20,TCSERVER04,WalletHandler,80718,2.9889787934
> 3m - 5m,2016-09-20,TCSERVER04,WalletHandler,68010,2.5184029304
